,Sample,deltaCT,deltaCT_adj,Alb_CT,Dlp_CT
71,9151,10.36042956,10.288565572884,24.16879708,13.80836752
72,9159,9.81662047,9.87357450752857,25.962153,16.14553253
73,9267,10.11652295,10.1226494684181,21.87101457,11.75449162
74,9375,9.48380321,9.4899297284181,24.85209755,15.36829434
75,9383,9.78482006,9.86127172391208,25.23900459,15.45418453
76,9391,10.13427718,10.1209060720346,24.17225723,14.03798005
77,9499,10.18203582,10.2194922311451,24.60396685,14.42193103
78,9407,9.64648172,9.66444050476154,25.38473688,15.73825516
79,9415,9.59368359,9.63114000114506,24.66075383,15.06707024
80,10131,9.72828306,9.67591669926755,23.70246357,13.97418051
81,10123,9.97800372,10.0154601311451,24.14228384,14.16428012
82,9152,9.51200706,9.45964069926755,24.88075645,15.36874939
83,6224,10.62059202,10.6385508047615,23.50358042,12.8829884
84,9160,9.63494607,9.67240248114505,23.88154398,14.24659791
85,8133,9.78994762,9.84690165752857,24.29102998,14.50108236
86,8243,10.21551521,10.1826464756511,24.91977386,14.70425865
87,9153,10.20444137,10.1520750092676,24.15575421,13.95131284
88,9161,10.01589161,10.0923432739121,24.52516552,14.50927391
89,9269,10.0625165,10.0804752847615,23.59705034,13.53453384
90,9377,8.90207725,8.92003603476154,22.06278186,13.16070461
91,9385,8.67351591,8.73046994752857,24.9763431,16.30282719
92,9393,9.70970657,9.72766535476154,23.78634285,14.07663628
93,9401,8.34625047,8.42270213391208,20.77512325,12.42887278
94,9409,9.40153118,9.36866244565107,25.19700805,15.79547687
95,9268,10.01451699,9.98164825565106,25.31854399,15.304027
96,10125,11.28903505,11.2366686892676,25.10701096,13.81797591
97,9417,10.30955575,10.2766870156511,25.6809356,15.37137985
98,9376,9.85165056,9.88910697114505,25.48432017,15.63266961
99,9384,9.58223247,9.61968888114505,25.20733601,15.62510354
100,6225,9.55340287,9.50103650926755,23.50937127,13.9559684
101,8134,10.34224423,10.3602030147615,23.65825675,13.31601252
102,8244,9.98173544,10.0581871039121,23.00302339,13.02128795
